domain,lmdb_key,db_prop,db_class,description,key_schema,value_schema,mult,proposed_keri_ts_target,phase,status,priority,notes
"Baser","evts.",".evts","LMDB","dgKey: serialized KEL events","(pre, evt SAID)","raw SerderKERI","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Baser","fels.",".fels","LMDB","fnKey: first seen event logs (FELs) maps on -> digest","(pre, fn)","SAID of evt","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","kels.",".kels","LMDB","snKey: Key Event Logs map sn -> KEL evt digest","(pre, sn)","SAID","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dtss.",".dtss","LMDB","dgKey: timestamp when evt escrowed, then seen; used in timeouts","(pre, SAID)","dt (binary)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","aess.",".aess","LMDB","dgKey: authorizing event source seal couples map dig -> couple of authorizer's evt","(pre, SAID)","(Huge sn, SAID)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","sigs.",".sigs","LMDB","dgKey: fully qualified indexed event signatures","(pre, said)","[Siger]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","wigs.",".wigs","LMDB","dgKey: indexed witness signatures of event from, or derived from, witness receipt","(pre, said)","[Wiger]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","rcts.",".rcts","LMDB","dgKey: event receipt couplets from NTsigs not witnesses(watchers/juror)","(pre, said)","[(cigar.verfer, cigar)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ures.",".ures","LMDB","escrow: snKey: unverified event receipt escrowed triples from NTsigs","(pre, sn)","[(dig, pre, cig)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","vrcs.",".vrcs","LMDB","dgKey: event validator receipt quadruples from TRsigs","(pre, dig)","[(pre, sn, SAID, sig)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","vres.",".vres","LMDB","dgKey: unverified event validator receipt escrowed quadruples from TRsigs","(pre, sn)","[(edig, spre, ssn, sdig, sig)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","pses.",".pses","LMDB","snKey: partially signed key event escrows; maps pre+sn -> SAID","(pre, sn)","[said]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","pwes.",".pwes","LMDB","snKey: partially witnessed key event escrows; maps pre+sn -> SAID","(pre, sn)","[said]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
