domain,lmdb_key,db_prop,db_class,description,key_schema,value_schema,mult,proposed_keri_ts_target,phase,status,priority,notes,gate,gate_rationale
"Baser","evts.",".evts","LMDB","dgKey: serialized KEL events","(pre, evt SAID)","raw SerderKERI","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Core event persistence for init and incept state and list and aid visibility and compatibility reopen."
"Baser","habs.",".habs","Komer","Habitat records (controller databases)","ns + b'\x00' + name","HabitatRecord","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Habitat records back list and aid and are required when unlocking existing stores."
"Baser","names.",".names","Suber","Habitat name database; maps (domain, name) -> Prefixer","(ns, name)","pre","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity","A|B|C","Alias to prefix mapping required by list and aid and cross-store compatibility mode."
"Baser","rpys.",".rpys","SerderSuber","Reply '/rpy' messages. Uses .sdts, ssgs, and .scgs for datetimes and sigs","(saider,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Reply messages carry endpoint and location authorizations used by ends add and OOBI bootstrap."
"Baser","rpes.",".repes","CesrIoSetSuber","Reply '/rpy' escrow indices of partially signed reply messages; Maps route->SAID","(route,)","[saider]","*","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Reply escrow indices are needed to complete partially signed endpoint and OOBI related replies."
"Baser","eans.",".eans","CesrSuber","AuthN/AuthZ by local controller cid of endpoint provider at eid for 'role'","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Endpoint auth records are required to persist controller role authorization for ends add."
"Baser","lans.",".lans","CesrSuber","AuthN/AuthZ by endpoint provider at eid of location at scheme in URL","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Location auth linkage is required for endpoint location resolution during OOBI bootstrap."
"Baser","ends.",".ends","Komer","Service endpoint identifier (eid) auths keyed by controller; extracted from rpy msg","(cid.role.eid)","EndpointRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Primary endpoint authorization table for ends add and mailbox endpoint publication."
"Baser","locs.",".locs","Komer","Service endpoint locations keyed by eid.scheme","(aid, scheme)","LocationRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|E","Endpoint location table needed to store and resolve service URLs for peers and mailboxes."
"Baser","exns.",".exns","SerderSuber","Exchange 'exn' messages","(dig,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F|G","Exchange message body store underpins controller communications and challenge message transport."
"Baser","esigs.",".esigs","CesrIoSetSuber","Exchange message indexed signatures","(said, pre, snh, ssaid)","Siger","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory","A|F|G","Indexed signatures for exchange messages are required for interoperable communications verification."
